N,Z,A,True_BE_MeV,MISR_Pred_MeV,MISR_Error,Base_SR_Pred_MeV,Base_SR_Error
28,24,52,456.3517192,448.3409127595654,8.010806440434578,455.02744570321903,1.324273496780961
76,42,118,951.906,948.0848585332872,3.8211414667127883,952.9261835794631,-1.0201835794631506
71,40,111,901.098,900.1755836957028,0.922416304297144,900.8455853861024,0.25241461389759934
45,33,78,676.562328,673.0129454350625,3.5493825649374457,676.5795182389397,-0.01719023893974736
75,41,116,929.392,929.8551235626795,-0.4631235626794705,930.2814046861181,-0.8894046861180414
15,20,35,261.66,267.6131825709913,-5.95318257099126,259.6047920707969,2.0552079292031067
48,35,83,721.5509716,718.0229197652825,3.5280518347175303,721.0841555414581,0.46681605854189456
72,47,119,1002.3622994,1006.7730209520307,-4.410721552030736,1003.1259733699285,-0.7636739699285044
47,41,88,754.3713144,756.8653802156243,-2.494065815624367,754.848857860674,-0.47754346067404185
52,37,89,771.1128655000001,768.9778188941343,2.1350466058657958,769.8421705882755,1.270694911724604
20,28,48,347.328,360.7831247995211,-13.455124799521116,345.46530197183927,1.8626980281607075
52,38,90,782.6403870000001,779.3204853851487,3.31990161485146,781.0938903388134,1.5464966611867794
49,44,93,793.4260311,796.1847495629966,-2.7587184629965122,793.7334514996463,-0.30742039964627565
51,40,91,791.0916558999999,789.7130028465954,1.3786530534044914,789.8193661771007,1.2722897228991314
37,21,58,467.1867288,472.66543950799297,-5.478710707992946,467.47412501210505,-0.28739621210502264
42,28,70,602.300419,594.7596607060842,7.540758293915815,604.0928277518046,-1.7924087518046008
84,50,134,1108.8730346,1100.6021179228037,8.270916677196283,1107.9401673802745,0.9328672197254946
51,31,82,690.5260508,687.0775070500293,3.4485437499706677,689.399829738389,1.126221061610977
53,38,91,788.4127068999999,786.3952612003337,2.0174456996661547,785.9914891029196,2.421217797080317
66,46,112,954.320696,958.0837980666428,-3.763102066642773,955.3308441642879,-1.010148164287898
74,42,116,944.588,941.7451988431485,2.842801156851465,945.2313399313074,-0.6433399313074233
73,45,118,982.0967602,985.2825130280291,-3.1857528280291945,982.0992287096599,-0.0024685096599341705
43,36,79,683.9119269999999,680.7293969970808,3.1825300029190657,684.2942024665524,-0.3822754665525281
58,42,100,860.46626,861.4213493688109,-0.9550893688108317,860.2535059431347,0.21275405686537852
26,12,38,263.264,257.0156563441015,6.248343655898509,264.0580619604488,-0.7940619604488006
38,36,74,631.4448860000001,625.5468853362148,5.898000663785297,631.2389614608422,0.205924539157877
28,23,51,445.8463452,440.44957346876214,5.396771731237834,444.9219024330012,0.9244427669987658
37,37,74,620.2467101999999,618.608855415398,1.6378547846019273,619.8844385908814,0.36227160911857936
47,30,77,656.8102848999999,650.7050425920982,6.10524230790179,656.240646142036,0.5696387579639577
63,50,113,961.2697221,966.9927927670589,-5.723070667058892,962.5728964075283,-1.3031743075283657
31,29,60,519.936282,511.9756476628184,7.960634337181602,519.8829067080299,0.05337529197015556
23,17,40,337.11064,341.1408580517944,-4.030218051794407,339.29507003623644,-2.1844300362364493
20,26,46,349.738,358.74332295621144,-9.005322956211444,349.15251101661187,0.5854889833881316
68,47,115,976.4138595,982.1464122710213,-5.732552771021346,977.8385908184434,-1.4247313184434915
29,21,50,431.673735,429.70449518001595,1.9692398199840682,430.29001581342743,1.3837191865725913
67,50,117,995.624604,1002.1455113772138,-6.520907377213803,997.3034637003655,-1.6788597003654786
55,46,101,864.6473044,867.1645207958969,-2.5172163958968667,863.3376218690013,1.3096825309987707
24,17,41,344.9313313,348.06790518256224,-3.1365738825622316,346.41313334640296,-1.4818020464029473
83,49,132,1089.4905384,1084.137098410315,5.353439989685057,1091.1926131254588,-1.702074725458715
27,24,51,444.3116073,438.8613593751029,5.4502479248970985,443.5139008240151,0.79770647598491
37,31,68,591.682926,585.5245641844801,6.158361815519811,592.5436323628936,-0.8607063628936658
54,33,87,732.0051327,728.3652567165765,3.639875983423508,730.7793921215842,1.2257405784157527
63,47,110,938.531979,945.2638110099093,-6.73183200990934,940.3463061625198,-1.8143271625198167
11,16,27,187.92,186.10078252157362,1.819217478426367,187.6713274161619,0.24867258383810054
43,38,81,695.5757145,693.8348572882019,1.7408572117981294,695.1303571877154,0.4453573122846137
38,27,65,562.697512,556.9898566091855,5.707655390814466,562.7929227423649,-0.09541074236494751
86,49,135,1098.36,1088.4505881020377,9.909411897962173,1098.4707591886709,-0.11075918867095425
17,18,35,291.46117350000003,288.94101161186325,2.5201618881367835,290.9013853373076,0.5597881626924277
35,29,64,559.3007104,551.3381589113724,7.962551488627582,559.674612257208,-0.3739018572080113
70,48,118,1001.56453,1005.9769798701169,-4.412449870116916,1003.3342504902165,-1.769720490216514
42,39,81,688.9781511,687.2431357410302,1.7350153589698039,688.2652542610582,0.7128968389417878
62,41,103,874.298196,877.0411940421603,-2.742998042160366,874.4768202802667,-0.1786242802667175
26,30,56,453.936,456.225834347388,-2.289834347388023,452.59257863830396,1.3434213616960164
32,33,65,545.7552815,543.9712976307213,1.7839838692786998,545.9413153767148,-0.18603387671475957
40,33,73,634.3415226999999,628.9067046529859,5.434818047014005,635.1960667167162,-0.8545440167163179
37,34,71,609.6103026000001,604.9182636296781,4.69203897032196,609.623970139358,-0.013667539357925307
38,32,70,610.519196,602.4045380025765,8.114657997423478,610.8264399593539,-0.3072439593539684
29,33,62,499.038,507.98975665907153,-8.95175665907152,498.84507805001294,0.1929219499870669
32,16,48,362.496,385.2154300387772,-22.719430038777205,360.38043129075845,2.115568709241529
61,45,106,906.7167602,911.9502404922865,-5.233480292286572,907.4968889444992,-0.7801287444992795
50,29,79,657.354102,653.7117170804638,3.642384919536198,655.5347393738934,1.8193626261065674
39,30,69,601.8684459000001,594.6939103621131,7.174535537886982,603.2768501252881,-1.4084042252879954
50,31,81,687.1519656,682.8116805698579,4.340285030142127,686.1842987080063,0.9676668919937583
33,35,68,560.252,563.1126063937163,-2.8606063937163526,560.6578601793013,-0.40586017930138496
52,30,82,680.691635,673.8004809763618,6.891154023638251,680.0334873255082,0.6581476744918291
11,13,24,183.5899344,185.78073680237762,-2.1908024023776136,185.29226626628034,-1.702331866280332
51,42,93,804.5810835,804.6127026657621,-0.03161916576209478,803.663163878456,0.9179196215440015
41,37,78,667.5513936,665.1833996685234,2.367993931476576,667.1361040730173,0.4152895269826331
48,45,93,784.4387715,788.2703888049974,-3.831617304997394,784.2190338439506,0.21973765604946038
